key	value
1002	N60044
1003	N60045
1004	N60046
1005	N60047
1006	N60048
1007	N60049
1008	N60050
1009	N60051
1010	N60052
1011	N60053
1012	N60054
1013	N60055
1014	N60056
1015	N60057
1016	N60058
1017	N60059
1018	N60060
1019	N60905
1020	N60906
1021	N60909
1022	N60911
1023	N60912
1024	N60913
1025	N60916
1026	N60917
1027	N60918
1028	N60921
1029	N60922
1030	N60923
1031	N60924
1032	N60925
1033	N60926
1034	N60927
1035	N60928
1036	N60929
1037	N60930
1038	N60931
1039	N60932
1040	N61800
1041	N61801
1042	N61802
1043	N61803
1044	N61804
1045	N61805
1046	N61806
1047	N61807
1048	N61808
1049	N61809
1050	N61810
1051	N61811
1052	N61812
1053	N61813
1054	N61814
1055	N61815
1056	N61816
1057	N61817
1058	N61818
1059	N61819
1060	N61820
1061	N61821
1062	N61822
1063	N61823
1064	N61824
1065	N61825
1066	N61826
1067	N61827
1068	N61828
1069	N61829
1070	N61830
1071	N61831
1072	N61832
1073	N61833
1074	N61834
1075	N61835
1076	N61836
1077	N61837
1078	N61838
1079	N61839
1080	N61840
1081	N61841
1082	N61842
1083	N61843
1084	N61844
1085	N61845
1086	N61846
1087	N61847
1088	N61848
1089	N61849
1090	N61850
1091	N61851
1092	N61852
1093	N61853
1094	N61854
1095	N61855
1096	N61856
1097	N61857
1098	N61858
1099	N61859
1100	N61860
1101	N61861
1102	N61862
1103	N61863
1104	N61864
1105	N61865
1106	N61866
1107	N61867
1108	N61868
1109	N61869
1110	N61870
1111	N61871
1112	N61872
1113	N61873
1114	N61874
1115	N61875
1116	N61876
1117	N61877
1118	N61878
1119	N61879
1120	N61880
1121	N61881
1122	N61882
1123	N61883
1124	N61884
1125	N61885
1126	N61886
1127	N61887
1128	N61888
1129	N61889
1130	N61890
1131	N61891
1132	N61892
1133	N61893
1134	N61894
1135	N61895
1136	N61896
1137	N61897
1138	N61898
1139	N61899
1140	N61900
1141	N61901
1142	N61902
1143	N61903
1144	N61904
1145	N61905
1146	N61906
1147	N61907
1148	N61908
1149	N61909
1150	N61910
1151	N61911
1152	N61912
1153	N61913
1154	N61914
1155	N61915
1156	N61916
1157	N61917
1158	N61918
1159	N61919
1160	N61920
1161	N61921
1162	N61922
1163	N61923
1164	N61924
1165	N61925
1166	N61926
1167	N61963
1168	N61999
1169	N63000
1170	N63001
1171	N63002
1172	N63003
1173	N63004
1174	N63005
1175	N63006
1176	N63007
1177	N63008
1178	N63009
1179	N63010
1180	N63011
1181	N63012
1182	N63013
1183	N63014
1184	N63015
1185	N63018
1186	N63019
1187	N63020
1188	N63021
1189	N63022
1190	N63023
1191	N63024
1192	N63025
1193	N63026
1194	N63028
1195	N63029
1196	N63030
1197	N63031
1198	N63032
1199	N63033
1200	N63034
1201	N63035
1202	N63036
1203	N63037
1204	N63038
1205	N63039
1206	N63040
1207	N63041
1208	N63042
1209	N63043
1210	N63044
1211	N63045
1212	N63046
1213	N63047
1214	N63048
1215	N63049
1216	N63050
1217	N63051
1218	N63052
1219	N63053
1220	N63054
1221	N63055
1222	N63056
1223	N63057
1224	N63058
1225	N63059
1226	N63060
1227	N65001
1228	N70000
1229	N70001
1230	N70002
1231	N70003
1232	N70004
1233	N70005
1234	N70006
1235	N70007
1236	N70008
1237	N70009
1238	N70010
1239	N70011
1240	N70012
1241	N70013
1242	N70014
1243	N70015
1244	N70016
1245	N70017
1246	N70018
1247	N70019
1248	N70021
1249	N70022
1250	N70023
1251	N70024
1252	N70025
1253	N70026
1254	N70027
1255	N70028
1256	N70029
1257	N70030
1258	N70031
1259	N70032
1260	N70033
1261	N70034
1262	N70035
1263	N70037
1264	N70800
1265	N70801
1266	N70802
1267	N70803
1268	N70804
1269	N70805
1270	N70806
1271	N70808
1272	N70809
1273	N70810
1274	N70811
1275	N70812
1276	N70813
1277	N70814
1278	N70815
1279	N70816
1280	N70817
1281	N70818
1282	N70819
1283	N70820
1284	N70821
1285	N70822
1286	N70824
1287	N70825
1288	N70826
1289	N70827
1290	N70828
1291	N70829
1292	N70830
1293	N70831
1294	N70832
1295	N70833
1296	N70834
1297	N70835
1298	N70836
1299	N70837
1300	N70838
1301	N70839
1302	N70840
1303	N70841
1304	N70842
1305	N70843
1306	N70844
1307	N70845
1308	N71000
1309	N71001
1310	N71002
1311	N71005
1312	N71006
1313	N71007
1314	N71009
1315	N71010
1316	N71011
1317	N71013
1318	N71017
1319	N71018
1320	N71800
1321	N71801
1322	N71802
1323	N71803
1324	N71804
1325	N71805
1326	N71806
1327	N71807
1328	N71808
1329	N71809
1330	N71810
1331	N71811
1332	N71812
1333	N71813
1334	N71814
1335	N71815
1336	N71816
1337	N71817
1338	N72000
1339	N72002
1340	N72003
1341	N72004
1342	N72005
1343	N72006
1344	N72007
1345	N72008
1346	N72009
1347	N72409
1348	N72455
1349	N72461
1350	N72800
1351	N72801
1352	N72802
1353	N72803
1354	N72804
1355	N72805
1356	N72806
1357	N72807
1358	N72808
1359	N72809
1360	N72810
1361	N72811
1362	N72812
1363	N72813
1364	N72814
1365	N72815
1366	N72816
1367	N72817
1368	N72818
1369	N72819
1370	N72820
1371	N72821
1372	N74000
1373	N74001
1374	N74002
1375	N74003
1376	N74004
1377	N74005
1378	N74006
1379	N74007
1380	N74008
1381	N74402
1382	N74800
1383	N74801
1384	N74802
1385	N74803
1386	N74804
1387	N74805
1388	N74806
1389	N74807
1390	N74808
1391	N74809
1392	N74810
1393	N76000
1394	N76001
1395	N76002
1396	N76003
1397	N76004
1398	N76800
1399	N77001
1400	N79000
1401	N79001
1402	N79002
1403	N79003
1404	N79004
1405	N79005
1406	N79006
1407	N79007
1408	N79008
1409	N79009
1410	N79010
1411	N79800
1412	N80000
1413	N80001
1414	N80002
1415	N80003
1416	N80004
1417	N80005
1418	N80006
1419	N80007
1420	N80008
1421	N80009
1422	N80010
1423	N80011
1424	N80012
1425	N85000
1426	N85001
1427	N85002
1428	N85003
1429	N85004
1430	N85005
1431	N85006
1432	N85007
1433	N85008
1434	N85009
1435	N85010
1436	N85011
1437	N85014
1438	N85017
1439	N85020
1440	N99999
1441	U00200
1442	U00201
1443	U00202
1444	U00203
1445	U00400
1446	U00401
1447	U00402
1448	U00403
1449	U00404
1450	U00405
1451	U00406
1452	U00407
1453	U00408
1454	U00409
1455	U00410
1456	U00411
1457	U00412
1458	U00413
1459	U00414
1460	U00415
1461	U00416
1462	U00417
1463	U00418
1464	U00419
1465	U00420
1466	U00421
1467	U00422
1468	U00423
1469	U00424
1470	U00425
1471	U00426
1472	U00427
1473	U00428
1474	U00429
1475	U00430
1476	U00431
1477	U00432
1478	U00433
1479	U00434
1480	U00435
1481	U00436
1482	U00437
1483	U00438
1484	U00439
1485	U00440
1486	U00441
1487	U00442
1488	U00443
1489	U00446
1490	U00449
1491	U00452
1492	U00455
1493	U00458
1494	U00461
1495	U00800
1496	U00801
1497	U00900
1498	U00901
1499	U00902
1500	U00903
1501	U00904
1502	U00907
1503	U00908
1504	U00909
1505	U00911
1506	U00913
